index,continent,CNT1,PV1MATH,ST57Q01
"(-5.95, -4.573](-0.441, 0.936]",South America,Uruguay,422.075089747,4.80559254328
"(-5.95, -4.573](0.936, 2.313]",Africa,Tunisia,405.52806738,3.60725919032
"(-5.95, -4.573](0.936, 2.313]",Asia,China,609.270848537,13.8791348601
"(-5.95, -4.573](0.936, 2.313]",Asia,Hong Kong,565.82964351,6.1614010989
"(-5.95, -4.573](0.936, 2.313]",Asia,Indonesia,380.049744118,5.01723113488
"(-5.95, -4.573](0.936, 2.313]",Asia,Israel,478.531199448,4.92549154881
"(-5.95, -4.573](0.936, 2.313]",Asia,Japan,542.967983196,4.03536396489
"(-5.95, -4.573](0.936, 2.313]",Asia,Jordan,396.347170763,4.30693855932
"(-5.95, -4.573](0.936, 2.313]",Asia,Kazakhstan,434.3148305,8.85952446024
"(-5.95, -4.573](0.936, 2.313]",Asia,Macau,539.922938181,6.05154028436
"(-5.95, -4.573](0.936, 2.313]",Asia,Malaysia,424.50026593,4.89390168015
"(-5.95, -4.573](0.936, 2.313]",Asia,Qatar,388.919621685,4.31158455393
"(-5.95, -4.573](0.936, 2.313]",Asia,Singapore,568.979330367,9.37456946039
"(-5.95, -4.573](0.936, 2.313]",Asia,South Korea,562.727802194,3.16306549629
