"Daily Time Detail -- Hard Skills in Data Science"
"04 de outubro de 2014 to 16 de agosto de 2015"

Hard Skills in Data Science,15:45,18:30,2:45,""
Hard Skills in Data Science,21:15,23:00,1:45,""
Total,9:25

"TERÇA-FEIRA, 28 DE ABRIL"
Hard Skills in Data Science,0:15,2:15,2:01,""
Hard Skills in Data Science,14:58,15:45,0:46,""
Hard Skills in Data Science,17:30,19:30,2:00,""
Total,4:47

"QUARTA-FEIRA, 29 DE ABRIL"
Hard Skills in Data Science,0:49,3:15,2:26,""
Total,2:26

"QUINTA-FEIRA, 30 DE ABRIL"
Hard Skills in Data Science,2:20,2:20,0:00,""
Total,0:00

"SEXTA-FEIRA, 1 DE MAIO"
[No entries]

"SÁBADO, 2 DE MAIO"
Hard Skills in Data Science,14:07,15:34,1:26,""
Hard Skills in Data Science,15:34,16:29,0:55,""
Total,2:22

"DOMINGO, 3 DE MAIO"
Hard Skills in Data Science,23:15,23:59,0:45,""
Total,0:45

"SEGUNDA-FEIRA, 4 DE MAIO"
Hard Skills in Data Science,0:00,3:45,3:45,""
Total,3:45

"TERÇA-FEIRA, 5 DE MAIO"
Hard Skills in Data Science,2:55,3:21,0:26,""
